Log: /Users/johntang/Desktop/clients/baam-local/tmp/corridor_pipeline_20260402_230037.log
=== discover lower-east-side-ny ===
🇨🇳 Discover Chinese Businesses — lower-east-side-ny
   Mode: ✅ APPLY
   Queries: 124 × 5 zones = 620 searches

📊 Existing businesses: 8426


📍 Zone: East Village core (40.729, -73.987)
  [408/620] 曼哈顿东村越南菜             → 20 results, 0 new
  [409/620] 曼哈顿东村泰餐              → 20 results, 0 new
  [410/620] 曼哈顿东村海鲜              → 20 results, 0 new
  [411/620] 曼哈顿东村大排档             → 4 results, 0 new
  [412/620] 曼哈顿东村夜宵              → 20 results, 0 new
  [413/620] 曼哈顿东村外卖              → 20 results, 1 new
  [414/620] 曼哈顿东村华人超市            → 20 results, 0 new
  [415/620] 曼哈顿东村中国超市            → 20 results, 1 new
  [416/620] 曼哈顿东村亚洲超市            → 20 results, 0 new
  [417/620] 曼哈顿东村中医              → 20 results, 0 new
  [418/620] 曼哈顿东村针灸              → 20 results, 0 new
  [419/620] 曼哈顿东村推拿              → 20 results, 0 new
  [420/620] 曼哈顿东村中药              → 20 results, 0 new
  [421/620] 曼哈顿东村华人牙医            → 20 results, 1 new
  [422/620] 曼哈顿东村中文牙医            → 20 results, 0 new
  [423/620] 曼哈顿东村牙科              → 20 results, 0 new
  [424/620] 曼哈顿东村华人医生            → 20 results, 1 new
  [425/620] 曼哈顿东村家庭医生            → 20 results, 1 new
  [426/620] 曼哈顿东村内科              → 20 results, 4 new
  [427/620] 曼哈顿东村儿科              → 20 results, 1 new
